Direccion;Codigo_Telefonico;Telefono;Correo electrónico;Fecha de alta;ID_CLIENTE;ID_TIPOS
REDHILL;998;710-2563;frikazoyd@att.net;2014/05/18;70;1
2 Manchester Road;319;810-1693;singer@comcast.net;2007/12/26;71;3
SA65 3HD;794;504-1808;rogerspl@aol.com;2005/07/02;72;2
DUDLEY;493;999-4390;danzigism@yahoo.ca;2012/09/23;73;2
9112 St. John’s Road;804;655-0207;empathy@att.net;2015/09/21;74;2
WS53 7IY;554;800-9842;jrifkin@mac.com;2015/08/18;75;1
SOUTH WEST LONDON;548;446-1387;sagal@icloud.com;2008/04/23;76;3
76 South Street;517;369-6486;durist@sbcglobal.net;2019/05/03;77;4
NR38 3VK;893;798-8990;msloan@msn.com;2011/01/06;78;3
SHEFFIELD;504;719-6268;ilikered@mac.com;2020/12/20;79;2
92 Park Avenue;295;508-7243;tlinden@live.com;2009/01/04;80;1
WV82 8AJ;940;762-9096;citizenl@yahoo.ca;2014/01/04;81;1
COVENTRY;370;597-5412;pajas@yahoo.com;2013/05/09;82;2
58 Highfield Road;996;458-0103;british@me.com;2010/03/14;83;2
BB91 5XM;223;934-8344;chaffar@aol.com;2012/01/25;84;3
OUTER HEBRIDES;611;728-9360;parkes@hotmail.com;2017/07/22;85;1
82 Windsor Road;446;436-2416;sjava@yahoo.ca;2014/07/31;86;1
PH82 4OY;205;877-2303;jipsen@outlook.com;2016/09/17;87;1
WESTERN CENTRAL LONDON;442;997-2681;lahvak@optonline.net;2010/05/10;88;4
10 Kings Road;200;695-5178;mlewan@yahoo.com;2016/09/11;89;2
WR45 4AU;892;339-6497;zwood@verizon.net;2010/11/08;90;1
MANCHESTER;719;593-5606;kassiesa@hotmail.com;2015/12/05;91;3
472 Mill Lane;719;881-4363;rnewman@hotmail.com;2005/03/06;92;1
RG6 1SR;346;442-6581;jaxweb@gmail.com;2006/11/18;93;2
TORQUAY;690;340-6090;eidac@aol.com;2016/01/24;94;1
80 Chester Road;722;742-7576;lishoy@gmail.com;2005/06/24;95;1
HA62 8DU;449;524-6231;delpino@aol.com;2009/08/23;96;2
PAISLEY;703;723-3874;catalog@att.net;2016/01/01;97;2
304 Springfield Road;435;239-5138;hoyer@hotmail.com;2021/03/03;98;3
BD84 2HP;580;240-1515;esokullu@live.com;2009/01/02;99;1
CHESTER;650;385-0635;heidrich@hotmail.com;2007/09/08;100;3
28 London Road;243;906-5992;kohlis@live.com;2015/06/23;101;2
HU74 4ER;209;297-3958;corrada@att.net;2011/08/19;102;3
GUILDFORD;966;338-9815;chaffar@sbcglobal.net;2013/09/18;103;4
597 New Street;638;925-5729;josem@hotmail.com;2012/02/08;104;1
DH29 2KQ;681;914-0083;jsmith@mac.com;2013/07/17;105;2
DUMFRIES;354;628-2294;hmbrand@hotmail.com;2015/02/27;106;3
41 Victoria Street;888;289-8104;corrada@gmail.com;2013/10/18;107;2
LE96 5AZ;393;626-4948;bryam@icloud.com;2011/03/23;108;1
CHELMSFORD;887;262-0302;gmcgath@hotmail.com;2019/07/05;109;1
48 Manor Road;462;566-8729;fukuchi@yahoo.com;2020/02/28;110;3
L52 8LM;661;929-3370;jshearer@mac.com;2018/12/07;111;1
SUNDERLAND;859;862-4703;phish@live.com;2014/07/12;112;3
33 York Road;415;981-0636;manuals@aol.com;2011/06/22;113;2
HD3 3KR;563;420-8118;meder@outlook.com;2008/04/21;114;1
YORK;462;763-2017;gomor@icloud.com;2013/08/17;115;1
24 Rock Maple Lane;701;212-8508;hauma@gmail.com;2009/06/20;116;3
376 South Griffin Street;714;278-0966;godeke@yahoo.ca;2020/04/11;117;1
7172 Halifax St.;523;677-7026;jdhedden@mac.com;2020/11/20;118;3
9530 Homewood St.;615;522-3616;tbeck@gmail.com;2011/04/10;119;4
3 Sunset Street;497;402-3196;bryanw@outlook.com;2012/03/01;120;3
611 Linda Rd.;624;360-5381;draper@me.com;2020/08/16;121;2
7088 South Woodland St.;417;559-0451;anicolao@optonline.net;2012/01/08;122;3
78 Hamilton St.;650;230-0049;mxiao@comcast.net;2005/11/29;123;2
7576 S. Prince Ave.;863;238-8964;mleary@yahoo.ca;2008/03/30;124;3
8678 Glen Eagles Rd.;340;944-7011;louise@comcast.net;2015/12/14;125;4
7487 College Rd.;388;447-0349;solomon@gmail.com;2011/10/10;126;1
8 Westminster Ave.;562;364-8454;dgatwood@live.com;2011/11/18;127;1
92 Brickell Drive;332;349-8146;augusto@outlook.com;2007/06/26;128;3
503 Delaware Street;286;718-4373;rafasgj@msn.com;2020/11/11;129;4
34 Anderson Ave.;397;693-0198;solomon@yahoo.ca;2009/01/24;130;1
8388 Water St.;874;698-3563;kildjean@aol.com;2013/12/18;131;4
373 Brickyard Avenue;633;872-7554;andersbr@att.net;2018/06/05;132;1
834 Yukon Lane;799;691-3758;moonlapse@sbcglobal.net;2010/08/30;133;1
8324 South St.;625;240-8609;schwaang@mac.com;2007/09/22;134;1
8 White Ave.;677;815-4415;geekoid@yahoo.ca;2009/11/13;135;4
907 Inverness Dr.;368;227-4620;plover@aol.com;2011/06/11;136;4
12 Cypress Avenue;930;420-2085;jhardin@hotmail.com;2007/08/05;137;2
7313 Bohemia Street;883;797-3367;jdray@hotmail.com;2012/10/11;138;2
8518 Hilldale Lane;616;916-4936;euice@outlook.com;2019/04/29;139;2
190 Sierra St.;406;344-3322;camenisch@yahoo.ca;2008/07/04;140;1
95 Studebaker Street;323;771-5959;lamky@hotmail.com;2019/05/19;141;1
1 Highland Ave.;898;732-6602;alastair@att.net;2015/12/03;142;2
5 West Henry Smith Street;551;404-1539;british@comcast.net;2014/07/06;143;4
940 E. Primrose Ave.;488;349-4237;rddesign@icloud.com;2013/09/19;144;1
8304 Van Dyke Avenue;296;444-2189;heckerman@me.com;2005/02/18;145;4
86 Bradford Rd.;988;961-4637;rasca@verizon.net;2006/06/18;146;1
3 Jefferson Dr.;486;549-5020;willg@sbcglobal.net;2020/05/30;147;1
79 Rocky River Ave.;868;892-8961;bryam@verizon.net;2012/04/28;148;3
38 Johnson St.;473;875-0023;padme@hotmail.com;2019/12/20;149;2
7652 West Wakehurst Drive;700;958-6128;damian@hotmail.com;2013/02/26;150;2
7075 Lake Forest Rd.;696;679-7702;tangsh@me.com;2020/12/28;151;2
619 Pleasant St.;250;248-4300;yamla@outlook.com;2011/08/04;152;1
8026 New Saddle St.;834;508-9490;rbarreira@optonline.net;2010/02/08;153;1
275 Rock Maple Avenue;503;283-5457;jrifkin@verizon.net;2005/03/07;154;3
404 Railroad St.;461;976-3596;dmouse@sbcglobal.net;2013/03/10;155;3
441 Court Dr.;398;272-4739;tubajon@comcast.net;2006/02/07;156;1
9 South Theatre Ave.;279;586-2100;tjensen@att.net;2011/09/08;157;4
674 Van Dyke Drive;988;433-7129;tristan@live.com;2011/05/20;158;3
234 W. Riverside St.;357;352-8928;crandall@sbcglobal.net;2008/12/14;159;3
916 E. Cactus Ave.;240;852-8613;bester@outlook.com;2017/04/10;160;3
218 Lake St.;403;855-3645;world@yahoo.ca;2019/01/03;161;1
861 Oakland St.;593;356-1838;staikos@sbcglobal.net;2018/12/24;162;3
8356 Bank Ave.;433;213-5953;kludge@comcast.net;2015/08/02;163;2
9754 Brookside Street;669;290-1610;paulv@sbcglobal.net;2017/03/30;164;2
8718 Chapel Drive;472;605-7532;jgmyers@sbcglobal.net;2018/06/07;165;4
9029 Bellevue Drive;287;839-5879;josephw@hotmail.com;2014/01/22;166;4
277 Halifax Dr.;622;903-6022;sopwith@att.net;2007/07/14;167;1
7889 Chapel Street;797;421-8320;sharon@att.net;2010/03/28;168;4
487 East 6th St.;478;658-1534;ntegrity@msn.com;2007/08/09;169;1
51 Coffee St.;671;615-3675;dgriffith@aol.com;2012/05/19;170;1
9586 Sycamore Dr.;713;795-1422;qrczak@verizon.net;2010/08/18;171;4
801 SW. Prairie St.;201;705-6808;bruck@live.com;2012/08/20;172;1
830 High Point Court;322;327-1204;camenisch@yahoo.ca;2008/12/27;173;1
791 Silver Spear Street;644;469-5761;mjewell@comcast.net;2019/11/14;174;1
8882 Old Smith Ave.;674;440-0703;daveed@optonline.net;2020/04/23;175;3
970 Myers Street;640;568-2625;quantaman@hotmail.com;2011/10/16;176;4
948 Railroad Avenue;409;889-4836;szymansk@gmail.com;2017/09/30;177;3
San Diego, CA 92114;359;210-8594;jemarch@yahoo.ca;2014/10/24;178;1
Pico Rivera, CA 90660;474;494-9364;rhialto@msn.com;2016/07/12;179;1
Los Angeles, CA 90001;681;820-0747;flakeg@comcast.net;2010/11/01;180;4
Modesto, CA 95350;921;657-7404;rnewman@optonline.net;2005/09/15;181;3
Simi Valley, CA 93065;451;889-2527;jshearer@yahoo.ca;2011/10/09;182;1
Los Angeles, CA 90004;487;654-5535;tubesteak@msn.com;2005/07/27;183;1
Folsom, CA 95630;243;692-9341;jsnover@gmail.com;2010/07/15;184;3
Tulare, CA 93274;726;607-0923;chrwin@live.com;2007/08/18;185;1
San Francisco, CA 94109;861;258-0892;jadavis@msn.com;2016/07/22;186;3
Tracy, CA 95376;514;904-4726;stevelim@gmail.com;2005/09/12;187;1
Los Angeles, CA 90066;829;721-4200;zavadsky@verizon.net;2013/08/21;188;1
Riverside, CA 92509;983;385-7043;mobileip@comcast.net;2006/11/30;189;2
Los Angeles, CA 90026;223;360-1632;lauronen@icloud.com;2013/02/13;190;2
Fairfield, CA 94533;412;836-0738;matty@att.net;2019/01/20;191;1
Sylmar, CA 91342;238;664-3657;simone@mac.com;2014/07/21;192;1
Daly City, CA 94015;759;680-2696;claesjac@verizon.net;2007/05/02;193;3
Van Nuys, CA 91405;395;780-5461;goldberg@yahoo.com;2007/04/08;194;2
Victorville, CA 92392;372;818-3567;lahvak@aol.com;2006/02/03;195;1
San Pedro, CA 90731;935;960-4873;jipsen@sbcglobal.net;2005/04/26;196;4
San Diego, CA 92115;971;288-1186;elmer@mac.com;2016/06/23;197;2
Rancho Cucamonga, CA 91730;994;447-4889;sisyphus@icloud.com;2016/03/04;198;1
Union City, CA 94587;232;476-5035;stefano@verizon.net;2007/05/20;199;4
Montebello, CA 90640;288;574-6749;muzzy@aol.com;2016/05/26;200;1
San Francisco, CA 94122;969;763-9226;bmidd@att.net;2014/07/24;201;4
Costa Mesa, CA 92627;732;708-8561;dhrakar@outlook.com;2011/12/05;202;2
Long Beach, CA 90813;314;254-1244;openldap@mac.com;2013/07/24;203;4
Anaheim, CA 92801;460;682-5923;dmath@live.com;2019/08/29;204;1
Alameda, CA 94501;200;565-5639;dobey@msn.com;2018/01/22;205;4
Oakland, CA 94601;357;769-3070;rbarreira@icloud.com;2019/05/21;206;1
Long Beach, CA 90805;587;626-3175;gilmoure@live.com;2019/06/21;207;1
Merced, CA 95340;465;293-1802;grady@verizon.net;2012/03/25;208;2
Huntington Park, CA 90255;709;815-7677;sekiya@gmail.com;2006/03/05;209;1
San Jose, CA 95111;605;810-1781;dogdude@yahoo.com;2007/06/30;210;1
Santa Ana, CA 92704;256;681-2246;sfoskett@att.net;2017/07/18;211;1
Spring Valley, CA 91977;304;471-5232;hampton@icloud.com;2007/08/26;212;3
Salinas, CA 93905;411;283-4519;singer@mac.com;2016/08/14;213;1
La Habra, CA 90631;442;496-8157;pereinar@mac.com;2020/01/12;214;3
Fontana, CA 92336;205;909-7964;jfreedma@comcast.net;2006/05/14;215;1
Georgetown, ON L7G 9Y7;730;534-7609;hampton@outlook.com;2010/08/02;216;2
Donnacona, QC G3M 1C3;770;286-4391;attwood@yahoo.com;2013/04/28;217;1
Manotick, ON K4M 6S8;732;906-0070;howler@mac.com;2019/11/29;218;4
Essex, ON N0R 2G6;943;428-2313;quantaman@icloud.com;2017/12/06;219;2
Lockport, MB R1B 5H9;785;951-2152;tellis@gmail.com;2005/05/01;220;1
Bonnyville, AB T9N 2P9;406;847-9870;jguyer@verizon.net;2006/08/20;221;1
Petit-Rocher, NB E8J 4K5;965;911-5076;adhere@icloud.com;2006/10/15;222;4
Farnham, QC J2N 4J1;599;327-2008;jaarnial@verizon.net;2012/08/01;223;4
Winnipeg, MB R2C 4A3;656;470-6146;plover@live.com;2018/12/06;224;1
Saint-Raymond, QC G3L 7P7;327;329-5055;wortmanj@verizon.net;2014/01/04;225;1
St. George, NB E5C 6A9;208;903-9126;violinhi@aol.com;2012/12/16;226;2
Port Moody, BC V3H 3N3;440;419-1193;uncle@sbcglobal.net;2010/04/03;227;1
Delhi, ON N4B 2V1;357;843-1297;krueger@icloud.com;2007/07/23;228;4
Oromocto, NB E2V 6A5;726;820-4884;daveewart@optonline.net;2015/09/02;229;1
Belledune, NB E8G 4R8;741;507-6188;firstpr@aol.com;2017/05/16;230;1
Bouctouche, NB E4S 8M3;847;529-3256;trieuvan@sbcglobal.net;2008/09/20;231;1
Caledon, ON L7C 9T6;622;751-8803;tbusch@gmail.com;2006/07/28;232;3
Buena Vista, SK S2V 1L1;681;720-0173;yfreund@me.com;2013/07/31;233;1
Digby Neck, NS B0V 8H6;947;794-9523;jfmulder@mac.com;2017/06/27;234;2
Outaouais-Sud, QC J0X 9K0;697;343-2772;parrt@mac.com;2014/08/25;235;4
Wetaskiwin, AB T9A 7X8;864;686-9890;wiseb@aol.com;2012/11/09;236;1
Steinbach, MB R5G 1B0;259;588-3616;barnett@outlook.com;2013/08/30;237;4
La Sarre, QC J9Z 2V9;711;535-5569;barlow@yahoo.com;2008/02/13;238;1
Apohaqui, NB E5P 9G5;390;414-6347;telbij@hotmail.com;2010/10/22;239;1
Lloydminster, SK S9V 5V1;622;524-5931;dalamb@msn.com;2016/09/17;240;1
Highlands, BC V9B 9L3;832;663-7857;psichel@live.com;2005/09/11;241;3
Saint-Hippolyte, QC J8A 8X2;774;962-9792;cameron@mac.com;2005/11/01;242;3
Chestermere, AB T1X 8K6;456;478-8124;klaudon@icloud.com;2013/10/18;243;2
Leduc, AB T9E 6E1;689;369-1765;gavinls@msn.com;2008/11/29;244;2
Vancouver, BC V5K 7G2;462;469-0733;arathi@comcast.net;2008/03/11;245;1
Esquimalt, BC V9A 7T3;296;380-9560;parkes@icloud.com;2018/06/09;246;1
Coldbrook, NS B4R 8S2;770;446-1820;cyrus@aol.com;2019/07/16;247;3
Windsor, ON N8P 8C9;752;764-6341;isotopian@hotmail.com;2019/08/11;248;1
Kanata, ON K2K 4A8;420;583-7227;marnanel@icloud.com;2013/07/05;249;1
McAdam, NB E6J 7T4;844;867-2783;nwiger@verizon.net;2016/01/04;250;1
Hanover, ON N4N 0G1;844;548-7367;elmer@comcast.net;2019/12/17;251;1
Ottawa, ON K1G 0J7;653;247-2528;natepuri@gmail.com;2013/08/04;252;3
Mississauga, ON L4T 3V7;323;918-8630;tmaek@gmail.com;2009/11/21;253;1
Wallaceburg, ON N8A 3M8;951;814-0240;manuals@yahoo.ca;2007/07/20;254;3
Windsor, LB A2B 0T8;286;747-9510;neonatus@live.com;2015/05/29;255;2
Cowansville, QC J2K 8Y0;780;915-5789;crusader@verizon.net;2007/09/20;256;2
Duvernay-Est, QC H7A 4A9;611;316-6464;dogdude@mac.com;2012/02/22;257;3
Pitt Meadows, BC V3Y 0T2;347;423-7150;mastinfo@outlook.com;2010/11/01;258;1
Amqui, QC G5J 8E3;690;391-9308;munge@verizon.net;2020/03/26;259;3
Enfield, NS B2T 5S6;300;748-5245;milton@att.net;2015/12/31;260;4
St. Martins, NB E5R 1J6;399;450-6042;redingtn@hotmail.com;2006/07/18;261;1
Stouffville, ON L4A 6L1;941;250-4612;fviegas@sbcglobal.net;2008/07/26;262;4
Kings County, NS B0P 9R3;979;636-7422;rgarcia@live.com;2008/08/18;263;1
Fort Saskatchewan, AB T8L 4M9;838;478-1283;ovprit@msn.com;2017/04/07;264;3
Laurentides-Sud, QC J0V 3M7;709;730-9311;teverett@att.net;2013/04/14;265;1
Black Lake, QC G6H 5M3;773;468-1836;ghost@yahoo.ca;2006/09/18;266;1
Charny, QC G6X 9G6;629;776-7927;intlprog@verizon.net;2005/07/27;267;1
Okotoks, AB T1S 0P8;374;637-9848;frosal@msn.com;2018/07/11;268;4
Boiestown, NB E6A 0J5;614;742-3346;sabren@comcast.net;2007/10/22;269;1
Port Alberni, BC V9Y 6C7;591;540-1501;hermes@outlook.com;2009/09/13;270;2
Cochrane, AB T4C 6R2;674;692-6307;shrapnull@live.com;2021/03/01;271;4
Hampton, NB E5N 2B1;613;385-7225;jimmichie@optonline.net;2006/04/26;272;1
Grand Manan Island, NB E5G 6V4;911;247-1909;bjornk@aol.com;2014/10/15;273;4
Petawawa, ON K8H 6P6;428;712-4844;ghost@sbcglobal.net;2015/10/18;274;1
Cap-Rouge, QC G1Y 7T2;911;550-2155;curly@icloud.com;2009/01/28;275;3
Prince Rupert, BC V8J 9N3;593;925-4662;jacks@outlook.com;2021/04/29;276;3
Acton, ON L7J 3T8;538;584-5847;mbswan@optonline.net;2015/04/26;277;2
Lac-Megantic, QC G6B 4L9;336;788-8866;jelmer@gmail.com;2014/04/30;278;3
Innisfail, AB T4G 7N5;878;213-7548;podmaster@yahoo.com;2013/09/30;279;1
Le Fjord, QC G0T 3E3;544;332-6097;malin@verizon.net;2019/07/28;280;4
Grande-Anse, NB E8N 7C1;992;343-2800;dsugal@hotmail.com;2019/02/28;281;1
Kimberley, BC V1A 5S2;272;202-0144;ninenine@icloud.com;2016/06/14;282;1
St. Albert, AB T8N 8R8;738;345-5103;damian@icloud.com;2011/12/08;283;4
Bass River, NB E4T 4R0;713;922-0553;phish@hotmail.com;2017/09/17;284;1
Parksville, BC V9P 5L2;682;502-1976;rnelson@gmail.com;2014/04/20;285;1
La Plaine, QC J7M 5N3;260;372-4164;slaff@aol.com;2013/02/18;286;2
Leamington, ON N8H 0N3;502;779-9801;ninenine@live.com;2005/06/12;287;1
Strathmore, AB T1P 9V5;687;734-3575;johnh@yahoo.ca;2018/12/30;288;4
Youngs Cove, NB E4C 4K5;503;471-0311;ryanshaw@comcast.net;2017/11/01;289;2
Chatham, QC J8G 7X7;640;467-1066;gerlo@yahoo.ca;2013/06/23;290;2
Eskasoni, NS B1W 1S9;350;900-0774;noneme@me.com;2006/11/28;291;3
Parry Sound, ON P2A 5R6;593;907-1562;squirrel@comcast.net;2017/06/16;292;1
Lanaudière-Nord, QC J0K 8T8;848;559-5729;sakusha@yahoo.com;2019/03/07;293;4
Saint-Colomban, QC J5K 6C2;986;369-4687;seano@sbcglobal.net;2011/08/09;294;1
Huntsville, ON P1H 2C9;815;645-0166;bmidd@msn.com;2009/12/12;295;1
Lachute, QC J8H 9V1;456;670-3912;oracle@verizon.net;2012/05/18;296;3
St. Stephen, NB E3L 2A8;997;481-7573;jrifkin@yahoo.com;2020/12/14;297;2
Îles-Laval, QC H7Y 1X2;571;271-7420;sherzodr@att.net;2017/08/05;298;1
Grand Falls, LB A2A 2C6;674;672-8423;rsmartin@msn.com;2007/01/26;299;4
Ville Émard, QC H4E 1K4;505;554-8992;jsbach@aol.com;2006/09/08;300;3
Napanee, ON K7R 6V1;826;231-0876;wmszeliga@mac.com;2006/08/02;301;1
Woodstock, NB E7M 8P6;499;874-0371;william@hotmail.com;2016/04/07;302;2
Dorchester, NB E4K 6V5;317;232-9358;gastown@comcast.net;2011/09/18;303;1
Greely, ON K4P 4T2;852;388-3751;improv@live.com;2020/04/20;304;3
Boucherville, QC J4B 9T3;366;604-3609;gfxguy@outlook.com;2009/08/11;305;3
Lacombe, AB T4L 0S1;800;687-3027;marcs@outlook.com;2017/10/11;306;3
Labrador City, LB A2V 8L0;924;920-0218;skippy@yahoo.ca;2010/11/02;307;4
Grimsby, ON L3M 5X9;733;648-0855;jyoliver@sbcglobal.net;2019/05/12;308;4
Cobourg, ON K9A 5G0;496;879-5338;afifi@hotmail.com;2013/12/30;309;2
Chelsea, QC J9B 5K1;363;981-6810;muadip@gmail.com;2018/09/06;310;2
Qualicum Beach, BC V9K 4J5;643;252-3203;hyper@icloud.com;2010/06/27;311;2
Dunnville, ON N1A 2R5;491;779-1547;spadkins@att.net;2011/09/19;312;2
Vimont, QC H7M 0J1;731;808-7183;oneiros@icloud.com;2019/08/19;313;4
Port Perry, ON L9L 6K8;879;310-9113;miltchev@gmail.com;2007/06/12;314;1
Saint Petersburg, FL 33710;944;942-5965;uqmcolyv@att.net;2005/04/21;315;3
Miami, FL 33135;257;383-2777;william@comcast.net;2014/06/12;316;1
New Port Richey, FL 34653;286;539-1526;lipeng@comcast.net;2017/07/20;317;4
Fort Lauderdale, FL 33312;408;475-2351;sbmrjbr@msn.com;2014/04/01;318;1
Tampa, FL 33614;654;850-5430;ryanvm@sbcglobal.net;2009/06/16;319;1
Jacksonville, FL 32205;704;732-6961;mbswan@msn.com;2018/12/17;320;1
Miami, FL 33161;400;235-6788;dbanarse@yahoo.ca;2008/07/28;321;2
Bradenton, FL 34205;363;851-7332;frikazoyd@me.com;2018/02/28;322;2
Fort Myers, FL 33912;892;211-3578;mosses@gmail.com;2015/02/18;323;1
Tampa, FL 33624;231;936-5897;parasite@optonline.net;2021/03/16;324;4
Opa Locka, FL 33055;609;914-4233;samavati@me.com;2021/03/27;325;1
Winter Haven, FL 33880;776;448-2874;rfoley@mac.com;2013/04/24;326;4
Lake Worth, FL 33460;487;768-3548;yfreund@verizon.net;2005/05/05;327;1
Lake Wales, FL 33853;601;357-6775;fglock@gmail.com;2019/03/26;328;4
Fort Lauderdale, FL 33309;296;236-1828;bebing@hotmail.com;2010/05/20;329;4
Fort Lauderdale, FL 33322;691;320-1793;cumarana@live.com;2019/09/10;330;1
Fort Lauderdale, FL 33319;919;955-4757;smpeters@mac.com;2016/08/03;331;3
Boca Raton, FL 33428;895;527-9965;madler@gmail.com;2014/06/02;332;1
Hallandale, FL 33009;779;490-1731;mgemmons@yahoo.ca;2018/08/14;333;2
Pensacola, FL 32526;317;905-9963;lstein@msn.com;2009/07/17;334;2
Hollywood, FL 33029;636;558-0180;skythe@optonline.net;2009/09/10;335;2
Miami, FL 33179;985;919-4960;alias@comcast.net;2019/05/29;336;1
Miami, FL 33183;558;212-5147;dburrows@comcast.net;2011/10/19;337;3
Pompano Beach, FL 33063;792;524-2198;eegsa@sbcglobal.net;2016/02/21;338;1
Lakeland, FL 33801;267;864-5928;gfxguy@hotmail.com;2011/12/05;339;1
Hialeah, FL 33013;496;239-3951;gumpish@optonline.net;2012/10/26;340;4
West Palm Beach, FL 33411;252;667-8366;rhialto@yahoo.com;2020/08/31;341;2
